pollen_depth,pollen_age_kabp,quercus_decid,ap_minus_pinus
0.01,0.0155,0,0
0.17,0.2753,,
0.33,0.535,,
0.49,0.7949,48.0565,79.5053
0.65,1.0547,,
0.81,1.31675,48.9865,73.9865
0.97,1.5789,46.7024,71.123
1.13,1.8388,,
1.29,2.0987,,
1.45,2.8221,,
1.61,3.5675,48.5549,80.7322
1.77,4.31285,,
1.93,5.05815,,
2.09,5.80375,,
2.25,6.54905,52.6596,77.1277
2.41,7.2946,,
2.57,8.0397,,
2.73,8.4637,,
2.89,8.82445,50,69.8113
3.05,9.18375,,
3.21,9.54475,,
3.35,9.8618,,
3.49,10.1778,44.2049,59.5687
3.65,10.53835,,
3.81,10.9004,,
3.97,11.34705,,
4.13,11.8927,55.0725,69.5652
4.29,12.4375,,
4.47,13.0517,,
4.63,13.5983,,
4.79,14.1485,24.8521,38.4615
4.95,14.69385,,
5.11,15.2415,,
5.27,15.62925,,
5.43,15.8294,10.1563,20.7031
5.59,16.0288,,
5.75,16.2302,,
5.91,16.43065,,
6.07,16.63055,10.4348,16.9565
6.23,16.8302,,
6.39,17.0312,,
6.55,17.2536,,
6.71,17.5244,11.2583,25.8278
6.87,17.7941,,
7.03,18.0638,,
7.19,18.33265,,
7.35,18.6,6.20155,16.2791
7.51,18.8653,,
7.67,19.1293,,
7.81,19.3743,,
7.97,19.84275,9.06344,24.4713
8.13,20.3121,,
8.29,20.7768,,
8.45,21.2466,,
8.61,21.7145,5.57103,12.5348
8.75,22.12295,,
8.91,22.5894,,
9.07,23.0561,,
9.23,23.48575,2.83019,14.1509
9.39,23.91145,,
9.55,24.3304,,
9.71,24.7508,,
9.87,25.1749,4.83871,10.4839
10.03,25.60315,,
10.19,26.03195,,
10.35,26.4608,,
10.51,26.8357,5.22875,13.7255
10.67,27.18785,,
10.83,27.54175,,
10.99,27.8938,,
11.15,28.2461,12.6801,25.6484
11.31,28.6006,,
11.47,28.9553,,
11.63,29.31135,,
11.79,29.59315,1.71429,8
11.95,29.82315,,
12.11,30.05065,,
12.27,30.2758,,
12.43,30.5021,10.9677,16.129
12.59,30.72745,,
12.75,30.9549,,
12.91,31.1818,,
13.07,31.4786,7.38462,12
13.23,31.8607,,
13.39,32.2485,,
13.55,32.628,,
13.71,33.00755,8.22785,17.7215
13.87,33.3889,,
14.03,33.7682,,
14.19,34.1458,,
14.35,34.55765,31.6092,44.8276
14.51,35.033,,
14.67,35.50805,,
14.83,35.984,,
14.99,36.4615,3.50195,11.284
15.15,36.9426,,
15.31,37.41985,,
15.47,37.89675,,
15.63,38.32235,22.5,48.125
15.79,38.5559,,
15.95,38.78785,,
16.11,39.0205,,
16.27,39.2524,4.54545,20.7792
16.43,39.48615,,
16.59,39.71885,,
16.75,39.9504,,
17.07,40.21455,13.1274,18.9189
17.23,40.5473,,
17.39,40.87665,,
17.55,41.206,,
17.71,41.5375,7.40741,13.3903
17.87,41.8661,,
18.03,42.19505,,
18.19,42.5277,,
18.35,42.8593,12.7168,21.3873
18.51,43.25815,,
18.67,43.6548,,
18.83,44.04815,,
18.99,44.4464,21.4765,49.6644
19.15,44.84365,,
19.31,45.24115,,
19.47,45.64015,,
19.63,46.0366,5.1447,20.9003
19.79,46.44085,,
19.95,46.83995,,
20.11,47.24805,,
20.27,47.649,7.109,21.327
20.43,48.0482,,
20.59,48.43885,,
20.75,48.8416,,
20.91,49.24135,8.20513,17.9487
21.07,49.73765,,
21.23,50.2533,,
21.39,50.77675,,
21.55,51.29545,24.9275,44.9275
21.71,51.8217,,
21.87,52.35185,,
22.03,52.87105,,
22.19,53.38915,22.6804,45.3608
22.35,53.8685,,
22.51,54.3248,,
22.67,54.7786,,
22.83,55.24255,31.25,46.875
22.99,55.7086,,
23.15,56.16105,,
23.31,56.62365,,
23.47,57.08635,30.5476,46.3977
23.63,57.56985,,
23.79,58.0956,,
23.95,58.60885,,
24.11,59.1252,16.2866,30.2932
24.27,59.6509,,
24.43,60.1614,,
24.59,60.68425,,
24.75,61.20335,29.2453,48.1132
24.91,61.66485,,
25.07,62.03465,,
25.23,62.40595,,
25.39,62.7759,20.5556,37.7778
25.55,63.15475,,
25.71,63.53795,,
25.87,63.9171,,
26.03,64.2965,10.3448,21.8391
26.19,64.68625,,
26.35,65.12165,,
26.51,65.56355,,
26.67,66.0044,4.51977,14.1243
26.83,66.44165,,
26.99,66.8845,,
27.15,67.3222,,
27.31,67.76515,8.73016,26.1905
27.47,68.1964,,
27.63,68.61695,,
27.79,69.047,,
27.95,69.46685,4.96454,12.0567
28.11,69.89355,,
28.27,70.33185,,
28.43,70.7599,,
28.59,71.18815,1.50376,14.5833
28.75,71.6122,,
28.91,72.0408,,
29.07,72.4648,,
29.23,72.88285,13.3949,45.9584
29.39,73.31325,,
29.55,73.73215,,
29.71,74.15855,,
29.87,74.5871,36.5482,59.3909
30.03,75.0044,,
30.19,75.4045,,
30.35,75.80565,,
30.51,76.20125,5.90406,21.7012
30.67,76.60565,,
30.83,76.996,,
30.99,77.3943,,
31.15,77.79,19.8474,68.4478
31.31,78.18015,,
31.47,78.5292,,
31.63,78.8641,,
31.79,79.196,8.42787,21.0719
31.95,79.5348,,
32.11,79.873,,
32.26,80.19,,
32.43,80.54485,34.3629,57.1429
32.59,80.87775,,
32.75,81.2155,,
32.91,81.56275,,
33.07,81.8998,40.2116,68.254
33.23,82.2367,,
33.39,82.58285,,
33.55,82.9296,,
33.71,83.2674,54.3259,75.4667
33.87,83.6042,,
34.03,83.97765,,
34.19,84.36715,,
34.35,84.76815,48.6842,71.7105
34.51,85.17155,,
34.67,85.57615,,
34.83,85.9804,,
34.99,86.38485,21.7391,34.5756
35.15,86.7925,,
35.31,87.1898,,
35.47,87.6003,,
35.63,88.00535,9.02475,17.3217
35.79,88.42235,,
35.95,88.842,,
36.11,89.25885,,
36.27,89.6662,23.9922,37.0698
36.43,90.084,,
36.59,90.5196,,
36.75,91.04005,,
36.91,91.56205,33.5079,75.7485
37.07,92.0829,,
37.23,92.6063,,
37.39,93.1293,,
37.55,93.65285,23.7288,72
37.71,94.1788,,
37.87,94.6863,,
38.03,95.1053,,
38.19,95.5252,22.0779,66.2338
38.35,95.9476,,
38.51,96.3614,,
38.67,96.78375,,
38.83,97.21385,23.3962,77.3585
38.99,97.6264,,
39.15,98.0382,,
39.31,98.4785,,
39.47,98.91525,29.2835,76.6513
39.62,99.3242,,
39.79,99.79165,,
39.95,100.23025,,
40.11,100.67275,34.7281,75.3138
40.27,101.1139,,
40.43,101.5547,,
40.59,101.9166,,
40.75,102.2676,48.306,75.3005
40.91,102.6243,,
41.07,102.9788,,
41.23,103.3274,,
41.39,103.6874,22.3214,36.3095
41.55,104.03795,,
41.71,104.3903,,
41.87,104.745,,
42.03,105.10195,40.4,63.1651
42.19,105.4634,,
42.35,105.8263,,
42.51,106.19065,,
42.67,106.5515,48.3019,71.3208
42.83,106.9183,,
42.99,107.28075,,
43.15,107.74685,,
43.31,108.26875,16.7526,39.9485
43.47,108.7978,,
43.63,109.3262,,
43.79,109.8521,,
43.95,110.374,15.4026,33.2555
44.11,110.89445,,
44.27,111.41755,,
44.43,111.9847,,
44.59,112.60695,32.5471,64.3178
44.75,113.2272,,
44.91,113.84205,,
45.07,114.45335,,
45.23,115.0729,34.7826,74.4361
45.39,115.68635,,
45.55,116.2999,,
45.71,116.93145,,
45.87,117.5965,35.514,80.3738
46.03,118.2741,,
46.19,118.95695,,
46.35,119.6356,,
46.51,120.3088,27.5675,70.2065
46.67,120.97835,,
46.83,121.6387,,
46.99,122.29075,,
47.15,122.93015,38.4342,82.8351
47.31,123.58165,,
47.47,124.2302,,
47.62,124.8438,,
47.79,125.5389,55.5008,92.775
47.95,126.19555,,
48.11,126.85895,,
48.27,127.49935,,
48.43,128.06325,49.3903,63.5569
48.58,128.5892,,
48.75,129.18805,,
48.91,129.7491,,
49.07,130.31445,25.0923,30.6273
49.23,130.87765,,
49.39,131.44265,,
49.55,132.00725,,
49.71,132.48695,20.1389,31.25
49.87,132.97415,,
50.03,133.4648,,
50.19,133.9441,,
50.35,134.42155,18.4109,26.1628
50.5,134.8703,,
50.67,135.37915,,
50.83,135.84825,,
50.99,136.29045,15.5173,29
51.15,136.7294,,
51.32,137.20285,,
51.47,137.6156,,
51.63,138.05365,5.7971,17.734
51.79,138.48785,,
51.95,138.91755,,
52.11,139.34885,,
52.27,139.8283,19.8198,40.5405
52.43,140.18325,,
52.59,140.6,,
52.75,141.0299,,
52.91,141.4523,6.20155,21
53.05,141.81955,,
53.23,142.2965,,
53.39,142.70895,,
53.57,143.17425,7.95454,22.1154
53.71,143.53125,,
53.87,143.947,,
54.03,144.3748,,
54.17,144.7371,5.88236,15.6863
54.35,145.2081,,
54.51,145.62215,,
54.67,146.0422,,
54.83,146.4431,4.1958,20.9302
54.99,146.84635,,
55.15,147.2443,,
55.3,147.6271,,
55.47,148.05,4.95868,19.5122
55.63,148.4562,,
55.79,148.85995,,
55.93,149.21675,,
56.11,149.6383,3.84615,14.7208
56.27,149.96005,,
56.43,150.29055,,
56.59,150.62295,,
56.75,150.95055,2.24719,17.0854
56.91,151.27805,,
57.07,151.6126,,
57.23,151.93595,,
57.39,152.27495,10.7382,29.4372
57.55,152.62205,,
57.71,152.979,,
57.87,153.3319,,
58.03,153.68925,2.1978,13.3721
58.19,154.05215,,
58.35,154.4122,,
58.51,154.77425,,
58.67,155.1083,3.27868,12.381
58.83,155.31105,,
58.99,155.5102,,
59.15,155.70525,,
59.31,155.9085,3.75,14.554
59.47,156.1057,,
59.63,156.3082,,
59.79,156.507,,
59.95,156.70415,1.97044,13.6691
60.11,156.88215,,
60.27,157.05425,,
60.43,157.23255,,
60.59,157.4118,4.87804,9.47867
60.75,157.5916,,
60.91,157.7673,,
61.07,157.94645,,
61.23,158.1221,7.0707,18.9815
61.39,158.31055,,
61.55,158.50695,,
61.685,158.66765,,
61.87,158.88815,1.85185,11.2088
62.03,159.07765,,
62.19,159.267,,
62.35,159.4586,,
62.51,159.64295,5,13
62.67,159.85735,,
62.83,160.0753,,
62.99,160.3015,,
63.15,160.51735,2.33645,16.8224
63.31,160.7351,,
63.47,160.9512,,
63.63,161.165,,
63.79,161.375,4.73933,13.7441
63.95,161.59345,,
64.11,161.8146,,
64.27,162.04245,,
64.43,162.26125,4.81283,17.6471
64.59,162.48345,,
64.75,162.7037,,
64.91,162.97395,,
65.07,163.14255,5.7971,16.9082
65.23,163.3721,,
65.39,163.62625,,
65.55,163.87355,,
65.71,164.12255,3.53535,21.2121
65.87,164.3747,,
66.03,164.62605,,
66.19,164.87885,,
66.35,165.1314,2.89855,16.9082
66.51,165.3819,,
66.67,165.6326,,
66.83,165.88085,,
66.99,166.1286,2.98507,16.9154
67.15,166.38655,,
67.31,166.6318,,
67.47,166.87785,,
67.63,167.1151,15.1961,42.6471
67.79,167.35315,,
67.95,167.58645,,
68.11,167.81605,,
68.27,168.0568,7.8125,20.3125
68.43,168.28955,,
68.59,168.52645,,
68.75,168.76855,,
68.91,169.00535,4.9505,15.8416
69.07,169.2405,,
69.23,169.4674,,
69.39,169.69375,,
69.55,169.9233,6.73575,20.2073
69.71,170.1474,,
69.87,170.37495,,
70.03,170.60225,,
70.19,170.82795,3.90244,12.1951
70.35,171.06235,,
70.51,171.27055,,
70.67,171.48925,,
70.84,171.721,3.53535,13.6364
70.99,171.9305,,
71.15,172.15965,,
71.31,172.37985,,
71.47,172.60685,5.72917,19.2708
71.63,172.8293,,
71.79,173.06695,,
71.95,173.3122,,
72.11,173.55185,5.47264,17.4129
72.27,173.80005,,
72.43,174.04545,,
72.59,174.2874,,
72.75,174.53755,7.1066,25.3807
72.91,174.7837,,
73.07,175.0121,,
73.23,175.2361,,
73.39,175.45855,14.5,32.5
73.55,175.68815,,
73.71,175.91625,,
73.87,176.14535,,
74.03,176.3753,5.64103,28.2051
74.19,176.6028,,
74.35,176.81905,,
74.51,177.01975,,
74.67,177.2208,12.234,26.5957
74.83,177.42355,,
74.99,177.62975,,
75.15,177.83145,,
75.31,178.0325,7.8125,19.7917
75.47,178.23755,,
75.63,178.44555,,
75.79,178.65765,,
75.95,178.87145,7.34463,16.3842
76.11,179.08555,,
76.27,179.29735,,
76.43,179.513,,
76.59,179.724,12.6904,30.4569
76.75,179.93555,,
76.91,180.161,,
77.07,180.4006,,
77.23,180.6387,23.4637,37.4302
77.39,180.8834,,
77.55,181.12455,,
77.71,181.36795,,
77.87,181.6072,8.71795,25.641
78.03,181.84395,,
78.19,182.08615,,
78.35,182.35795,,
78.51,182.6283,10.3139,30.4933
78.67,182.89735,,
78.83,183.16725,,
78.99,183.4325,,
79.15,183.69415,10.3627,26.943
79.31,183.956,,
79.47,184.21135,,
79.63,184.42955,,
79.79,184.65405,1.60428,13.369
79.95,184.87935,,
80.11,185.09695,,
80.27,185.31855,,
80.43,185.53835,17.765,41.2607
80.59,185.76295,,
80.75,185.9784,,
80.91,186.242,,
81.07,186.5075,44.385,80.4813
81.23,186.776,,
81.39,187.0456,,
81.55,187.31515,,
81.71,187.577,36.5079,70.4762
81.87,187.84465,,
82.03,188.11895,,
82.19,188.3675,,
82.34,188.5998,13.3145,32.5779
82.51,188.862,,
82.67,189.1071,,
82.83,189.3572,,
82.99,189.60765,17.8392,48.995
83.15,189.8421,,
83.31,190.0853,,
83.47,190.3264,,
83.63,190.5697,14.2466,37.2603
83.79,190.79795,,
83.95,191.03475,,
84.11,191.27445,,
84.27,191.51695,14.3836,40.411
84.43,191.75385,,
84.59,191.99575,,
84.75,192.23485,,
84.91,192.4736,16.5414,39.0977
85.07,192.7117,,
85.23,192.9428,,
85.39,193.18855,,
85.55,193.4274,8.85714,33.7143
85.72,193.6751,,
85.87,193.9038,,
86.03,194.15385,,
86.19,194.4242,6.07287,95.9514
86.35,194.6879,,
86.51,194.9647,,
86.67,195.2341,,
86.83,195.50855,12.4669,35.809
86.99,195.77885,,
87.15,196.0469,,
87.31,196.3344,,
87.47,196.65175,16.9591,33.9181
87.63,196.96905,,
87.79,197.28775,,
87.95,197.6049,,
88.11,197.91425,28.5714,51.7857
88.27,198.2315,,
88.43,198.55195,,
88.59,198.8571,,
88.75,199.13565,22.6744,34.8837
88.91,199.4142,,
89.07,199.69495,,
89.23,199.97505,,
89.39,200.24835,48.6239,70.6422
89.55,200.53475,,
89.71,200.80775,,
89.87,201.08675,,
90.03,201.3574,53.3089,70.2206
90.19,201.6211,,
90.35,201.8892,,
90.51,202.15925,,
90.67,202.4313,41.0139,68.6636
90.83,202.70185,,
90.99,202.97095,,
91.15,203.2414,,
91.31,203.52945,41.2301,58.7699
91.47,203.82685,,
91.63,204.1151,,
91.79,204.4038,,
91.95,204.69755,0.339559,32.7674
92.11,204.992,,
92.27,205.29295,,
92.43,205.5799,,
92.59,206.1052,0.833333,89.2116
92.75,206.6666,,
92.91,207.2228,,
93.07,207.7762,,
93.23,208.3335,9.41935,86.3226
93.39,208.88755,,
93.55,209.4367,,
93.71,209.98665,,
93.87,210.4645,22.4756,84.3648
94.03,210.91215,,
94.19,211.36655,,
94.35,211.80895,,
94.51,212.25745,19.2394,74.4966
94.67,212.707,,
94.83,213.15215,,
94.99,213.60565,,
95.15,214.11995,23.4375,76.6355
95.31,214.69655,,
95.47,215.262,,
95.63,215.83,,
95.79,216.40255,39.4881,75.5027
95.96,217.0072,,
96.11,217.5321,,
96.27,218.0837,,
96.43,218.6878,26.6941,44.3763
96.59,219.3229,,
96.75,219.96755,,
96.91,220.60025,,
97.07,221.25125,11.5993,34.2707
97.23,221.9039,,
97.39,222.56495,,
97.55,223.22525,,
97.71,223.793,14.8148,45.8333
97.87,224.2072,,
98.03,224.6245,,
98.19,225.0413,,
98.35,225.4518,9.25926,36.1111
98.51,225.8651,,
98.67,226.2721,,
98.83,226.67465,,
98.99,227.05845,34.1991,60.6061
99.15,227.38715,,
99.31,228.0273,,
99.47,228.04815,,
99.63,228.3832,10.3093,20.1031
99.79,228.71405,,
99.95,229.04555,,
100.11,229.3789,,
100.27,229.711,28.3334,69.5833
100.43,230.04945,,
100.59,230.39835,,
100.75,230.7385,,
100.91,231.08715,20.7964,38.4956
101.07,231.43975,,
101.23,231.78505,,
101.39,232.11785,,
101.55,232.4559,6.04396,15.9341
101.71,232.80485,,
101.87,233.15105,,
102.03,233.50355,,
102.19,233.8522,30.0971,64.0777
102.35,234.19755,,
102.51,234.5446,,
102.67,234.8896,,
102.83,235.2372,15.4639,73.1959
102.99,235.56605,,
103.15,235.8805,,
103.31,236.20655,,
103.47,236.51855,32.1544,76.8489
103.63,236.8427,,
103.79,237.1628,,
103.95,237.48195,,
104.11,237.7998,29.0124,64.8148
104.27,238.15725,,
104.43,238.5312,,
104.59,238.89825,,
104.75,239.26705,45.6522,85.0242
104.9,239.6046,,
105.07,239.9861,,
105.23,240.35005,,
105.39,240.7127,64.1115,84.4367
105.55,241.02585,,
105.71,241.32175,,
105.87,241.61035,,
106.03,241.91665,21.0084,26.8908
106.19,242.2081,,
106.35,242.5091,,
106.51,242.80545,,
106.67,243.1036,4.95049,21.4521
106.83,243.408,,
106.99,243.72885,,
107.15,244.04245,,
107.31,244.37275,3.74707,21.7799
107.47,244.70255,,
107.63,245.0279,,
107.79,245.3591,,
107.95,245.693,4.13534,16.1654
108.11,246.01505,,
108.27,246.31985,,
108.43,246.6271,,
108.59,246.9352,9.73154,34.5638
108.75,247.24815,,
108.91,247.55365,,
109.07,247.86345,,
109.23,248.18005,0,0
109.39,248.5157,,
109.55,248.9041,,
109.71,249.2954,,
109.87,249.68525,8.33334,35.0694
110.03,250.0693,,
110.19,250.43815,,
110.35,250.82265,,
110.51,251.1956,4.51128,27.8195
110.67,251.58405,,
110.83,251.9927,,
110.99,252.41125,,
111.15,252.8258,5.65371,32.5088
111.31,253.24045,,
111.47,253.6584,,
111.63,254.07265,,
111.79,254.4933,3.19634,21.4612
111.95,254.9009,,
112.11,255.36515,,
112.27,255.83075,,
112.43,256.29085,4.91803,25
112.59,256.7648,,
112.75,257.2241,,
112.91,257.68135,,
113.07,258.1437,3.80228,26.616
113.23,258.59705,,
113.39,259.09145,,
113.55,259.585,,
113.71,260.07335,2.35849,18.8679
113.87,260.56465,,
114.03,261.06125,,
114.19,261.5409,,
114.35,262.0322,4.32099,16.6667
114.52,262.5441,,
114.67,262.942,,
114.83,263.3548,,
114.99,263.7639,0,0
115.15,264.1779,,
115.31,264.5836,,
115.47,264.99575,,
115.63,265.41485,2.82685,15.5477
115.79,265.83265,,
115.95,266.22145,,
116.11,266.6249,,
116.27,267.02265,5.51725,24.1379
116.43,267.4253,,
116.59,267.8192,,
116.75,268.2159,,
116.91,268.6173,0,0
117.07,269.01135,,
117.23,269.42335,,
117.39,269.8385,,
117.57,270.3201,4.3307,18.5039
117.71,270.6835,,
117.87,271.10325,,
118.03,271.5242,,
118.19,271.95225,1,21
118.35,272.37625,,
118.51,272.78525,,
118.67,273.1653,,
118.83,273.55205,4.33071,20.8661
118.99,273.9399,,
119.15,274.3203,,
119.31,274.6959,,
119.46,275.12945,2.88066,14.8148
119.63,275.45795,,
119.79,275.828,,
119.95,276.17295,,
120.11,276.5199,1.78571,27.6786
120.27,276.86995,,
120.43,277.2131,,
120.59,277.556,,
120.75,277.89115,1.40845,12.6761
120.91,278.2357,,
121.07,278.57965,,
121.23,278.93515,,
121.39,279.29375,1.07527,17.2043
121.55,279.65125,,
121.71,280.0096,,
121.87,280.3717,,
122.03,280.7247,0.738007,9.9631
122.19,281.08065,,
122.35,281.43105,,
122.51,281.76635,,
122.67,282.10625,3.62903,31.4516
122.83,282.43835,,
122.99,282.77925,,
123.15,283.1134,,
123.31,283.4576,1.70068,17.6871
123.47,283.80325,,
123.63,284.1448,,
123.79,284.5643,,
123.95,284.9992,4.71976,41.0029
124.11,285.43095,,
124.27,285.8525,,
124.43,286.28235,,
124.59,286.71635,5.92335,37.9791
124.75,287.14585,,
124.91,287.5801,,
125.07,288.0089,,
125.23,288.4365,33.8871,77.4086
125.39,288.8618,,
125.55,289.28545,,
125.71,289.71075,,
125.87,290.13465,58.1081,83.2432
126.03,290.5524,,
126.19,290.96615,,
126.35,291.3565,,
126.51,291.7247,47.4801,77.1883
126.67,292.10125,,
126.83,292.4742,,
126.99,292.8552,,
127.15,293.2335,33.4559,45.5882
127.31,293.612,,
127.47,293.9926,,
127.63,294.3704,,
127.79,294.7364,17.1014,33.0435
127.95,295.10575,,
128.11,295.48955,,
128.27,295.8722,,
128.43,296.25155,17.9487,31.0897
128.59,296.63245,,
128.75,297.00465,,
128.91,297.3512,,
129.06,297.6403,31.1111,54.8148
129.23,297.9625,,
129.39,298.26905,,
129.55,298.5718,,
129.71,298.88055,52.0548,83.5616
129.87,299.17115,,
130.03,299.46765,,
130.19,299.75655,,
130.35,300.04145,14.375,43.125
130.51,300.3285,,
130.67,300.6178,,
130.83,300.90685,,
130.99,301.1976,0,0
131.15,301.49,,
131.31,301.77605,,
131.47,302.06125,,
131.63,302.36375,11.8919,32.4324
131.79,302.661,,
131.95,302.966,,
132.11,303.2657,,
132.28,303.58165,29.8611,71.5278
132.43,303.8612,,
132.59,304.15405,,
132.75,304.455,,
132.91,304.78535,34.4828,62.069
133.07,305.1204,,
133.23,305.44965,,
133.39,305.78205,,
133.55,306.112,16.312,68.7943
133.71,306.4449,,
133.87,306.7705,,
134.03,307.1086,,
134.19,307.43015,12.8571,66.4286
134.35,307.76175,,
134.51,308.0942,,
134.66,308.4025,,
134.83,308.75555,27.4854,73.0994
134.99,309.08065,,
135.15,309.4116,,
135.31,309.74265,,
135.47,310.04175,5.9761,24.7012
135.63,310.331,,
135.79,310.62165,,
135.95,310.9071,,
136.12,311.21735,35.8974,68.5897
136.27,311.4806,,
136.43,311.77455,,
136.59,312.0641,,
136.75,312.35545,38.0711,71.5736
136.91,312.6569,,
137.07,312.95835,,
137.23,313.25785,,
137.39,313.56065,46.332,81.8533
137.55,313.8567,,
137.71,314.16345,,
137.87,314.46365,,
138.03,314.76275,57.9861,83.6806
138.19,315.0649,,
138.35,315.3717,,
138.51,315.68395,,
138.67,315.9959,54.1199,79.4007
138.83,316.3031,,
138.99,316.6112,,
139.15,316.91885,,
139.31,317.2494,39.5105,63.986
139.46,317.59765,,
139.63,317.9889,,
139.79,318.3591,,
139.95,318.73285,23.7864,45.1456
140.11,319.1068,,
140.27,319.48555,,
140.43,319.85585,,
140.59,320.2302,12.9032,39.5161
140.75,320.62165,,
140.91,321.0116,,
141.07,321.4072,,
141.23,321.79765,18.75,66.5441
141.39,322.18325,,
141.55,322.57545,,
141.71,322.9683,,
141.87,323.3653,31.5151,73.9394
142.03,323.82775,,
142.19,324.28965,,
142.35,324.75385,,
142.51,325.2132,33.1429,73.7143
142.67,325.66485,,
142.83,326.1176,,
142.99,326.56855,,
143.15,327.01535,54.7469,91.4557
143.31,327.5073,,
143.47,327.9855,,
143.63,328.4736,,
143.79,328.9673,36.9319,90.3409
143.95,329.454,,
144.11,329.93925,,
144.27,330.42695,,
144.43,330.91875,35.6757,64.8649
144.59,331.39635,,
144.75,331.88715,,
144.91,332.3643,,
145.07,332.8423,25.9741,50
145.23,333.33115,,
145.39,333.8121,,
145.55,334.2876,,
145.71,334.77375,14.2857,23.0769
145.87,335.2702,,
146.03,335.77745,,
146.19,336.2892,,
146.35,336.7928,16.3522,32.7044
146.51,337.30115,,
146.67,337.80575,,
146.83,338.31065,,
146.99,338.8096,18,32
147.15,339.3434,,
147.31,339.89595,,
147.48,340.48215,,
147.63,340.9967,9.44882,37.4016
147.79,341.5446,,
147.95,342.09015,,
148.11,342.6358,,
148.27,343.1826,6.80851,33.1915
148.43,343.7141,,
148.59,344.24125,,
148.75,344.75995,,
148.91,345.28855,1.53061,19.898
149.07,345.8169,,
149.23,346.34905,,
149.39,346.8788,,
149.55,347.39635,8.96552,33.1034
149.71,347.90875,,
149.87,348.40225,,
150.03,348.89815,,
150.19,349.3897,12.1213,44.9495
150.35,349.89375,,
150.51,350.39075,,
150.67,350.89305,,
150.83,351.3808,16.3462,48.5577
150.99,351.88565,,
151.15,352.4045,,
151.31,352.92395,,
151.47,353.43845,6.43776,34.3348
151.63,353.9593,,
151.79,354.48335,,
151.95,355.00015,,
152.11,355.5178,12,27.1111
152.26,356.0111,,
152.43,356.5779,,
152.59,357.123,,
152.75,357.66595,33.0144,61.244
152.91,358.21055,,
153.07,358.75385,,
153.23,359.30555,,
153.39,359.8555,10.6383,38.2979
153.55,360.4023,,
153.71,360.9415,,
153.87,361.47335,,
