time_medstack,O18_medstack,C13_medstack
1158,0.38,0.83
1159,0.3,0.69
1160,0.29,0.41
1161,0.31,0.05
1162,-0.06,-0.3
1163,-0.67,-0.39
1164,-0.56,0.05
1165,-0.45,0.5
1166,-0.02,0.95
1167,0.01,1.08
1168,0.01,1.02
1169,0.02,0.95
1170,0.03,0.93
1171,0.04,0.97
1172,-0.35,1.02
1173,-0.19,1.06
1174,-0.03,1.05
1175,0.13,1.03
1176,0.3,1.02
1177,0.46,0.97
1178,0.21,0.92
1179,0.09,0.86
1180,0.06,0.64
1181,0.04,0.23
1182,0.01,0.19
1183,-0.01,0.49
1184,-0.04,0.17
1185,-0.02,0.16
1186,0.2,0.48
1187,0.43,0.8
1188,0.59,0.86
1189,0.63,0.91
1190,0.67,0.97
1191,0.72,1.02
1192,0.76,1.06
1193,0.81,1.02
1194,0.87,0.99
1195,0.93,0.95
1196,0.99,0.93
1197,1.05,0.96
1198,1.11,0.98
1199,1.17,1.01
1200,1.17,0.98
1201,1.14,0.91
1202,1.11,0.84
1203,1.08,0.77
1204,1.05,0.79
1205,1.02,0.88
1206,0.99,0.97
1207,0.98,1.07
1208,1,1
1209,1.03,0.91
1210,1.05,0.83
1211,1.08,0.77
1212,0.85,1.03
1213,1.01,1.03
1214,1.16,1.03
1215,1.31,1.03
1216,1.46,1.02
1217,1.29,1.08
1218,1.03,1.15
1219,0.65,1.24
1220,0.31,1.29
1221,0.14,1.24
1222,-0.03,1.25
1223,-0.2,1.15
1224,-0.32,1.14
1225,-0.39,1.21
1226,-0.28,1.26
1227,-0.17,1.27
1228,-0.12,1.27
1229,-0.08,1.36
1230,-0.05,1.45
1231,-0.11,1.44
1232,-0.2,1.42
1233,-0.23,1.39
1234,-0.2,1.37
1235,-0.17,1.37
1236,-0.14,1.37
1237,-0.11,1.31
1238,-0.08,1.23
1239,-0.07,1.2
1240,-0.06,1.17
1241,0.01,1.19
1242,0.09,1.22
1243,0.43,1.21
1244,0.77,1.18
1245,1.13,1.13
1246,1.46,1.1
1247,1.59,1
1248,1.65,0.97
1249,1.69,0.93
1250,1.72,0.89
1251,1.76,0.91
1252,1.69,0.93
1253,1.47,0.95
1254,1.11,0.84
1255,0.79,0.92
1256,0.54,1
1257,0.35,1.11
1258,0.34,1.19
1259,0.4,1.39
1260,0.51,1.58
1261,0.55,1.61
1262,0.54,1.51
1263,0.45,1.34
1264,0.36,1.21
1265,0.47,1.25
1266,0.71,1.31
1267,0.98,1.37
1268,1.09,1.37
1269,0.99,1.3
1270,0.88,1.23
1271,0.8,1.14
1272,0.78,1.06
1273,0.8,1.01
1274,0.88,0.94
1275,0.97,0.86
1276,0.76,0.8
1277,0.43,0.85
1278,0.1,0.87
1279,-0.18,1.02
1280,-0.11,0.97
1281,0.1,0.93
1282,0.29,1.05
1283,0.45,1.17
1284,0.6,1.29
1285,0.75,1.41
1286,0.9,1.49
1287,1.04,1.54
1288,1.19,1.59
1289,1.33,1.64
1290,1.47,1.68
1291,1.48,1.69
1292,1.49,1.64
1293,1.45,1.7
1294,1.41,1.79
1295,1.37,1.83
1296,1.35,1.82
1297,1.34,1.81
1298,1.28,1.8
1299,1.18,1.81
1300,1.08,1.82
1301,0.98,1.83
1302,0.85,1.74
1303,0.78,1.54
1304,0.81,1.42
1305,0.83,1.41
1306,0.78,1.41
1307,0.74,1.01
1308,0.69,0.94
1309,0.61,0.96
1310,0.54,1
1311,0.1,0.91
1312,-0.34,0.81
1313,-0.4,0.71
1314,-0.37,0.61
1315,-0.33,0.71
1316,-0.03,0.79
1317,0.3,0.87
1318,0.47,0.99
1319,0.64,1
1320,0.72,1
1321,0.67,1
1322,0.61,1
1323,0.64,1.06
1324,0.67,1.08
1325,0.69,1.1
1326,0.68,1.11
1327,0.63,1.14
1328,0.58,1.18
1329,0.5,1.21
1330,0.35,1.21
1331,0.19,1.16
1332,-0.01,1.11
1333,-0.2,1.06
1334,-0.4,1.01
1335,-0.45,1.04
1336,-0.42,1.11
1337,-0.39,1.18
1338,-0.31,1.25
1339,-0.1,1.37
1340,0.1,1.53
1341,0.27,1.55
1342,0.44,1.56
1343,0.61,1.58
1344,0.78,1.27
1345,0.7,1.19
1346,0.47,1.14
1347,0.05,1.14
1348,-0.37,1.14
1349,-0.8,1.14
1350,-1.18,1.02
1351,-1.47,0.87
1352,-1.58,0.71
1353,-1.69,0.56
1354,-1.8,0.4
1355,-1.91,0.25
1356,-2.03,0.09
1357,-1.69,0.23
1358,-1.24,0.44
1359,-0.79,0.66
1360,-0.49,0.78
1361,-0.45,0.76
1362,-0.4,0.74
1363,-0.35,0.72
1364,-0.31,0.7
1365,-0.27,0.68
1366,-0.23,0.66
1367,-0.2,0.64
1368,-0.2,0.71
1369,-0.21,0.82
1370,-0.22,0.93
1371,-0.23,1.04
1372,-0.24,1.15
1373,-0.19,1.26
1374,-0.12,1.37
1375,-0.03,1.46
1376,0.22,1.36
1377,0.48,1.26
1378,0.74,1.16
1379,0.83,1.06
1380,0.82,0.95
1381,0.81,0.85
1382,0.8,0.75
1383,0.71,0.7
1384,0.51,0.74
1385,0.4,0.78
1386,0.31,0.81
1387,0.21,0.85
1388,0.12,0.89
1389,0.02,0.92
1390,-0.07,0.96
1391,-0.26,0.97
1392,-0.48,0.96
1393,-0.73,0.96
1394,-1,0.95
1395,-1.26,0.95
1396,-1.53,0.94
1397,-1.79,0.93
1398,-2.03,0.94
1399,-2.04,1.01
1400,-2.05,1.07
1401,-1.9,1.14
1402,-1.7,1.21
1403,-1.5,1.28
1404,-1.35,1.2
1405,-1.2,1.1
1406,-1.06,1
1407,-0.91,0.89
1408,-0.78,0.79
1409,-0.66,0.69
1410,-0.46,0.65
1411,-0.14,0.69
1412,0.19,0.73
1413,0.51,0.78
1414,0.84,0.82
1415,1.16,0.86
1416,1.36,0.91
1417,1.11,1.04
1418,0.81,1.18
1419,0.51,1.32
1420,0.21,1.46
1421,-0.09,1.6
1422,-0.39,1.74
1423,-0.61,1.77
1424,-0.81,1.65
1425,-1.05,1.53
1426,-1.29,1.41
1427,-1.54,1.29
1428,-1.78,1.18
1429,-1.99,1.07
1430,-1.98,1.12
1431,-1.97,1.16
1432,-1.7,1.2
1433,-1.32,1.24
1434,-0.95,1.28
1435,-0.59,1.32
1436,-0.59,1.32
1437,-0.61,1.3
1438,-0.64,1.29
1439,-0.67,1.27
1440,-0.69,1.25
1441,-0.72,1.24
1442,-0.75,1.22
1443,-0.81,1.15
1444,-0.88,1.06
1445,-0.95,0.97
1446,-1.02,0.88
1447,-1.09,0.8
1448,-1.16,0.71
1449,-1.08,0.62
1450,-0.91,0.74
1451,-0.76,0.91
1452,-0.6,1.09
1453,-0.42,1.2
1454,-0.21,1.21
1455,-0.01,1.22
1456,0.2,1.24
1457,0.31,1.25
1458,0.32,1.26
1459,0.33,1.27
1460,0.34,1.28
1461,0.35,1.29
1462,0.36,1.3
1463,0.24,1.24
1464,0.11,1.17
1465,-0.06,1.1
1466,-0.37,1.03
1467,-0.67,0.96
1468,-0.97,0.9
1469,-1.27,0.83
1470,-1.58,0.76
1471,-1.81,0.74
1472,-1.7,0.95
1473,-1.59,1.17
1474,-1.18,1.34
1475,-1.07,1.29
1476,-0.96,1.23
1477,-0.84,1.18
1478,-0.73,1.12
1479,-0.62,1.07
1480,-0.51,1.01
1481,-0.4,0.96
1482,-0.49,0.91
1483,-0.53,0.87
1484,-0.57,0.82
1485,-0.61,0.78
1486,-0.66,0.74
1487,-0.7,0.69
1488,-0.74,0.65
1489,-0.78,0.61
1490,-0.62,0.61
1491,-0.44,0.62
1492,-0.25,0.63
1493,-0.07,0.63
1494,0.11,0.64
1495,0.3,0.65
1496,0.46,0.66
1497,0.61,0.68
1498,0.75,0.77
1499,0.89,0.85
1500,1.03,0.94
1501,1.17,1.02
1502,1.24,1.11
1503,1.27,1.19
1504,1.3,1.28
1505,1.29,1.34
1506,1.21,1.36
1507,1.13,1.38
1508,1.05,1.4
1509,0.97,1.42
1510,0.88,1.44
1511,0.78,1.46
1512,0.69,1.49
1513,0.6,1.45
1514,0.5,1.4
1515,0.37,1.35
1516,0.23,1.29
1517,0.1,1.24
1518,0.2,1.19
1519,0.43,1.14
1520,0.35,1.09
1521,0.3,1.12
1522,0.24,1.15
1523,0.18,1.19
1524,0.12,1.22
1525,0.13,1.25
1526,0.42,1.28
1527,0.37,1.31
1528,0.33,1.32
1529,0.29,1.28
1530,0.26,1.25
1531,0.22,1.22
1532,0.19,1.19
1533,0.47,1.15
1534,0.45,1.12
1535,0.42,1.09
1536,0.43,1.08
1537,0.45,1.08
1538,0.47,1.07
1539,0.49,1.07
1540,0.53,1.07
1541,0.54,1.07
1542,0.48,1.06
1543,0.42,1.06
1544,0.27,1.15
1545,0.13,1.23
1546,-0.02,1.31
1547,-0.17,1.4
1548,0.05,1.48
1549,-0.09,1.56
1550,-0.22,1.65
1551,-0.32,1.7
1552,-0.35,1.72
1553,-0.34,1.73
1554,0.03,1.74
1555,0.4,1.76
1556,0.53,1.77
1557,0.62,1.78
1558,0.52,1.8
1559,0.34,1.73
1560,0.1,1.62
1561,-0.13,1.51
1562,-0.37,1.41
1563,-0.59,1.3
1564,-0.8,1.19
1565,-0.78,1.15
1566,-0.49,1.16
1567,-0.21,1.16
1568,0.07,1.17
1569,0.35,1.18
1570,0.64,1.18
1571,0.87,1.19
1572,0.98,1.19
1573,1.08,1.2
1574,1.13,1.19
1575,1.1,1.17
1576,1.06,1.15
1577,1.01,1.12
1578,0.93,1.1
1579,0.85,1.08
1580,0.76,1.06
1581,0.68,1.04
1582,0.6,1.01
1583,0.53,0.99
1584,0.53,0.99
1585,0.57,1.02
1586,0.62,1.05
1587,0.66,1.07
1588,0.71,1.1
1589,0.75,1.13
1590,0.8,1.16
1591,0.82,1.18
1592,0.8,1.21
1593,0.77,1.24
1594,0.66,1.24
1595,0.44,1.21
1596,0.23,1.18
1597,0.01,1.15
1598,-0.2,1.12
1599,-0.43,1.09
1600,-0.67,1.06
1601,-0.92,1.03
1602,-1.17,1
1603,-1.15,1.02
1604,-1.07,1.05
1605,-0.98,1.08
1606,-0.89,1.11
1607,-0.72,1.14
1608,-0.32,1.17
1609,-0.05,1.19
1610,0.19,1.2
1611,0.43,1.22
1612,0.64,1.23
1613,0.65,1.24
1614,0.65,1.26
1615,0.65,1.27
1616,0.66,1.28
1617,0.66,1.31
1618,0.65,1.35
1619,0.59,1.4
1620,0.54,1.44
1621,0.48,1.49
1622,0.43,1.53
1623,0.37,1.58
1624,0.31,1.62
1625,0.26,1.67
1626,0.17,1.63
1627,0.13,1.59
1628,0.09,1.54
1629,0.05,1.5
1630,0.01,1.45
1631,-0.04,1.41
1632,-0.08,1.37
1633,-0.12,1.32
1634,-0.19,1.28
1635,-0.31,1.24
1636,-0.43,1.2
1637,-0.55,1.16
1638,-0.68,1.12
1639,-0.8,1.08
1640,-0.92,1.04
1641,-1.04,1.01
1642,-0.98,1
1643,-0.71,1.02
1644,-0.44,1.03
1645,-0.21,1.1
1646,0,1.2
1647,0.2,1.31
1648,0.39,1.38
1649,0.54,1.32
1650,0.67,1.26
1651,0.75,1.2
1652,0.82,1.15
1653,0.91,1.07
1654,1,0.99
1655,1.09,0.91
1656,1.17,0.83
1657,1.17,0.84
1658,1.07,0.94
1659,0.95,1.04
1660,0.84,1.14
1661,0.76,1.2
1662,0.86,1.08
1663,0.97,0.96
1664,1.07,0.84
1665,1.18,0.72
1666,1.13,0.73
1667,0.98,0.79
1668,0.83,0.84
1669,0.67,0.9
1670,0.53,0.98
1671,0.41,1.11
1672,0.31,1.25
1673,0.22,1.38
1674,0.13,1.51
1675,0.1,1.5
1676,0.06,1.49
1677,0.02,1.48
1678,0,1.47
1679,-0.04,1.44
1680,-0.09,1.38
1681,-0.15,1.33
1682,-0.2,1.28
1683,-0.23,1.26
1684,-0.18,1.34
1685,-0.13,1.42
1686,-0.08,1.49
1687,-0.04,1.57
1688,-0.09,1.49
1689,-0.14,1.4
1690,-0.2,1.3
1691,-0.25,1.2
1692,-0.3,1.12
1693,-0.33,1.04
1694,-0.31,0.96
1695,-0.22,0.88
1696,-0.1,0.81
1697,0.12,0.84
1698,0.34,0.86
1699,0.56,0.88
1700,0.79,0.91
1701,0.97,0.89
1702,1.15,0.87
1703,1.19,0.85
1704,1.2,0.83
1705,1.2,0.81
1706,1.12,0.82
1707,0.99,0.84
1708,0.87,0.86
1709,0.74,0.89
1710,0.62,0.91
1711,0.53,0.97
1712,0.5,1.06
1713,0.47,1.15
1714,0.44,1.24
1715,0.41,1.34
1716,0.39,1.34
1717,0.39,1.21
1718,0.39,1.07
1719,0.39,0.94
1720,0.42,0.88
1721,0.45,0.9
1722,0.48,0.92
1723,0.51,0.93
1724,0.54,0.95
1725,0.56,0.97
1726,0.59,0.99
1727,0.62,1.01
1728,0.57,0.98
1729,0.42,0.9
1730,0.27,0.81
1731,0.13,0.73
1732,-0.02,0.64
1733,-0.17,0.56
1734,-0.31,0.48
1735,-0.44,0.41
1736,-0.37,0.53
1737,-0.3,0.64
1738,-0.24,0.76
1739,-0.17,0.88
1740,-0.1,0.99
1741,-0.03,1.03
1742,0.04,1.01
1743,0.12,0.98
1744,0.19,0.96
1745,0.26,0.94
1746,0.34,0.92
1747,0.41,0.9
1748,0.48,0.88
1749,0.4,0.85
1750,0.29,0.82
1751,0.19,0.8
1752,0.08,0.77
1753,-0.02,0.74
1754,-0.13,0.72
1755,-0.24,0.69
1756,-0.3,0.68
1757,-0.29,0.72
1758,-0.28,0.75
1759,-0.27,0.79
1760,-0.26,0.82
1761,-0.27,0.96
1762,-0.3,1.19
1763,-0.32,1.43
1764,-0.35,1.66
1765,-0.38,1.9
1766,-0.4,1.83
1767,-0.4,1.71
1768,-0.4,1.58
1769,-0.4,1.45
1770,-0.4,1.33
1771,-0.42,1.26
1772,-0.44,1.24
1773,-0.47,1.23
1774,-0.49,1.21
1775,-0.51,1.19
1776,-0.51,1.18
1777,-0.43,1.17
1778,-0.36,1.17
1779,-0.29,1.16
1780,-0.22,1.16
1781,-0.1,1.15
1782,0.12,1.16
1783,0.34,1.17
1784,0.56,1.18
1785,0.78,1.19
1786,1,1.2
1787,1.13,1.16
1788,1.03,1.1
1789,0.85,1.05
1790,0.66,0.99
1791,0.51,0.93
1792,0.46,0.86
1793,0.56,0.76
1794,0.67,0.66
1795,0.78,0.56
1796,0.88,0.47
1797,0.99,0.37
1798,0.93,0.54
1799,0.85,0.71
1800,0.77,0.88
1801,0.69,1.04
1802,0.61,1.21
1803,0.42,1.17
1804,0.19,1.05
1805,-0.05,0.92
1806,-0.29,0.8
1807,-0.53,0.67
1808,-0.62,0.66
1809,-0.61,0.72
1810,-0.6,0.78
1811,-0.46,0.84
1812,-0.29,0.9
1813,-0.11,0.96
1814,0.06,1.02
1815,0.24,1.09
1816,0.11,1.15
1817,0.09,1.21
1818,0.04,1.21
1819,-0.05,1.18
1820,-0.14,1.15
1821,-0.22,1.12
1822,-0.31,1.09
1823,-0.26,1.06
1824,-0.27,1
1825,-0.29,0.95
1826,-0.41,0.9
1827,-0.55,0.85
1828,-0.68,0.8
1829,-0.64,0.78
1830,-0.46,0.79
1831,-0.29,0.8
1832,-0.11,0.81
1833,0.07,0.82
1834,0.31,0.83
1835,0.29,0.88
1836,0.18,0.95
1837,0.08,1.02
1838,-0.02,1.09
1839,-0.09,1.15
1840,-0.12,1.22
1841,-0.17,1.08
1842,-0.26,0.93
1843,-0.35,0.79
1844,-0.44,0.65
1845,-0.53,0.5
1846,-0.62,0.38
1847,-0.71,0.31
1848,-0.8,0.24
1849,-0.89,0.17
1850,-0.97,0.1
1851,-1.07,0.03
1852,-1.17,0.05
1853,-1.23,0.17
1854,-1.29,0.29
1855,-1.35,0.41
1856,-1.41,0.52
1857,-1.33,0.66
1858,-1.03,0.81
1859,-0.75,0.96
1860,-0.39,1.12
1861,-0.02,1.27
1862,0.24,1.39
1863,0.2,1.39
1864,0.15,1.38
1865,0.1,1.38
1866,0.05,1.37
1867,-0.02,1.35
1868,-0.28,1.18
1869,-0.54,1.01
1870,-0.75,0.73
1871,-0.95,0.47
1872,-0.78,0.76
1873,-0.6,1.05
1874,-0.45,1.07
1875,-0.3,1.09
1876,-0.26,1.09
1877,-0.22,1.1
1878,-0.17,1.1
1879,-0.18,1.12
1880,-0.19,1.13
1881,-0.19,1.15
1882,-0.21,1.17
1883,-0.24,1.19
1884,-0.25,1.19
1885,-0.25,1.18
1886,-0.21,1.18
1887,-0.17,1.17
1888,-0.13,1.17
1889,-0.11,1.15
1890,-0.09,1.13
1891,-0.08,1.11
1892,-0.06,1.09
1893,-0.05,1.06
1894,0.05,1.14
1895,0.18,1.24
1896,0.3,1.34
1897,0.38,1.44
1898,0.45,1.53
1899,0.44,1.51
1900,0.41,1.44
1901,0.38,1.36
1902,0.34,1.29
1903,0.31,1.22
1904,0.24,1.22
1905,0.16,1.24
1906,0.12,1.26
1907,0.17,1.28
1908,0.22,1.3
1909,0.28,1.34
1910,0.33,1.39
1911,0.37,1.45
1912,0.42,1.5
1913,0.47,1.55
1914,0.42,1.49
1915,0.11,1.35
1916,-0.25,1.21
1917,-0.55,1.06
1918,-0.7,0.92
1919,-0.72,0.94
1920,-0.63,1.08
1921,-0.88,1.05
1922,-1.04,1
1923,-0.86,1.1
1924,-0.68,1.19
1925,-0.5,1.29
1926,-0.32,1.39
1927,-0.14,1.48
1928,-0.24,1.52
1929,-0.35,1.55
1930,-0.38,1.54
1931,-0.34,1.51
1932,-0.31,1.48
1933,-0.27,1.45
1934,-0.23,1.42
1935,-0.2,1.39
1936,-0.23,1.36
1937,-0.28,1.32
1938,-0.34,1.29
1939,-0.39,1.26
1940,-0.44,1.23
1941,-0.5,1.19
1942,-0.6,0.62
1943,-0.52,0.57
1944,-0.34,0.69
1945,-0.17,0.82
1946,0.06,0.92
1947,0.12,1.01
1948,0.43,1.09
1949,0.74,1.17
1950,1.04,1.25
1951,0.99,1.3
1952,0.74,1.33
1953,0.49,1.36
1954,0.25,1.39
1955,0,1.42
1956,-0.03,1.34
1957,0,1.23
1958,0.03,1.12
1959,0.06,1.01
1960,0.1,0.89
1961,0,0.95
1962,-0.12,1.04
1963,-0.24,1.12
1964,-0.35,1.21
1965,-0.47,1.29
1966,-0.45,1.42
1967,-0.43,1.55
1968,-0.41,1.68
1969,-0.37,1.73
1970,-0.32,1.76
1971,-0.26,1.79
1972,-0.25,1.65
1973,-0.25,1.45
1974,-0.25,1.24
1975,-0.31,1.13
1976,-0.41,1.1
1977,-0.51,1.07
1978,-0.39,1.04
1979,0.05,1.01
1980,0.5,0.97
1981,0.8,0.98
1982,0.71,1.09
1983,0.62,1.2
1984,0.53,1.29
1985,0.44,1.27
1986,0.35,1.26
1987,0.26,1.24
1988,0.05,1.31
1989,-0.16,1.39
1990,-0.37,1.47
1991,-0.35,1.38
1992,-0.27,1.26
1993,-0.19,1.14
1994,-0.02,1.22
1995,0.2,1.4
1996,0.42,1.59
1997,0.4,1.6
1998,0.18,1.46
1999,-0.04,1.33
2000,-0.16,1.29
2001,-0.1,1.39
2002,-0.05,1.49
2003,-0.06,1.58
2004,-0.26,1.65
2005,-0.45,1.71
2006,-0.62,1.75
2007,-0.55,1.62
2008,-0.48,1.5
2009,-0.4,1.38
2010,-0.44,1.21
2011,-0.47,1.05
2012,-0.51,0.88
2013,-0.66,0.98
2014,-0.84,1.14
2015,-1.02,1.3
2016,-0.99,1.29
2017,-0.85,1.19
2018,-0.71,1.1
2019,-0.55,1.13
2020,-0.39,1.3
2021,-0.22,1.46
2022,-0.1,1.56
2023,-0.08,1.56
2024,-0.06,1.56
2025,-0.03,1.54
2026,0.04,1.44
2027,0.1,1.34
2028,0.16,1.26
2029,0.18,1.34
2030,0.19,1.41
2031,0.21,1.49
2032,0.16,1.55
2033,0.1,1.61
2034,0.04,1.67
2035,0.16,1.69
2036,0.32,1.71
2037,0.48,1.73
2038,0.55,1.72
2039,0.56,1.68
2040,0.57,1.64
2041,0.49,1.65
2042,0.33,1.7
2043,0.17,1.75
2044,0.09,1.76
2045,0.13,1.67
2046,0.17,1.57
2047,0.22,1.51
2048,0.25,1.57
2049,0.29,1.63
2050,0.32,1.68
2051,0.25,1.58
2052,0.19,1.48
2053,0.13,1.39
2054,0.17,1.36
2055,0.22,1.33
2056,0.28,1.31
2057,0.24,1.3
2058,0.18,1.3
2059,0.11,1.3
2060,-0.02,1.26
2061,-0.21,1.19
2062,-0.4,1.12
2063,-0.4,1.08
2064,-0.2,1.07
2065,0.01,1.06
2066,0.16,1.11
2067,0.2,1.31
2068,0.23,1.51
2069,0.26,1.63
2070,0.26,1.42
2071,0.27,1.2
2072,0.28,1
2073,0.69,1.21
2074,1.11,1.43
2075,1.52,1.65
2076,1.11,1.49
2077,0.59,1.27
2078,0.07,1.06
2079,0.08,0.99
2080,0.28,0.98
2081,0.48,0.97
2082,0.45,0.91
2083,0.25,0.83
2084,0.06,0.75
2085,-0.07,0.78
2086,-0.1,0.95
2087,-0.14,1.12
2088,-0.25,1.19
2089,-0.55,1.04
2090,-0.84,0.88
2091,-1.14,0.76
2092,-1.43,0.79
2093,-1.71,0.83
2094,-1.84,0.77
2095,-1.88,0.66
2096,-1.51,0.75
2097,-0.58,1.12
2098,0.33,1.48
2099,0.49,1.4
2100,0.66,1.32
2101,0.63,1.21
2102,0.5,1.09
2103,0.36,0.97
2104,0.23,0.86
2105,0.17,0.85
2106,0.14,0.9
2107,0.12,0.95
2108,0.09,1
2109,-0.15,0.95
2110,-0.45,0.88
2111,-0.76,0.8
2112,-1.07,0.73
2113,-1.21,0.58
2114,-1.31,0.41
2115,-0.87,0.57
2116,0.4,1.22
2117,1.38,1.75
2118,1.34,1.78
2119,1.3,1.81
2120,1.21,1.77
2121,1.03,1.58
2122,0.85,1.4
2123,0.67,1.22
2124,0.54,1.22
2125,0.42,1.28
2126,0.29,1.33
2127,0.12,1.36
2128,-0.23,1.33
2129,-0.59,1.3
2130,-0.94,1.26
2131,-1.04,1.15
2132,-1,0.99
2133,-0.95,0.83
2134,-0.92,0.68
2135,-1.09,0.69
2136,-1.26,0.7
2137,-1.42,0.71
2138,-1.38,0.78
2139,-1.14,0.92
2140,-0.91,1.05
2141,-0.7,1.15
2142,-0.57,1.1
2143,-0.44,1.04
2144,-0.31,0.99
2145,-0.03,0.97
2146,0.27,0.96
2147,0.57,0.95
2148,0.92,1
2149,1.31,1.13
2150,1.7,1.26
2151,2.02,1.37
2152,1.92,1.4
2153,1.83,1.43
2154,1.74,1.46
2155,1.74,1.53
2156,1.76,1.6
2157,1.78,1.67
2158,1.65,1.69
2159,1.34,1.66
2160,1.02,1.62
2161,0.72,1.59
2162,0.5,1.57
2163,0.29,1.55
2164,0.07,1.53
2165,-0.05,1.48
2166,-0.15,1.41
2167,-0.25,1.35
2168,-0.3,1.32
2169,-0.28,1.36
2170,-0.27,1.39
2171,-0.26,1.42
2172,-0.46,1.4
2173,-0.66,1.39
2174,-0.86,1.37
2175,-0.98,1.34
2176,-1.06,1.29
2177,-1.15,1.24
2178,-1.2,1.15
2179,-1.19,0.99
2180,-1.19,0.84
2181,-1.19,0.68
2182,-1.76,0.76
2183,-2.31,0.84
2184,-1.11,1.22
2185,0.1,1.59
2186,0.32,1.44
2187,0.49,1.34
2188,0.56,1.32
2189,0.63,1.31
2190,0.7,1.3
2191,0.77,1.29
2192,0.68,1.23
2193,0.6,1.17
2194,0.51,1.11
2195,0.43,1.05
2196,0.39,1.13
2197,0.36,1.26
2198,0.33,1.38
2199,0.29,1.5
2200,0.13,1.45
2201,-0.17,1.23
2202,-0.47,1.02
2203,-0.76,0.8
2204,-1.04,0.63
2205,-1.28,0.57
2206,-1.53,0.52
2207,-1.77,0.46
2208,-2.01,0.41
2209,-1.22,0.72
2210,-0.61,0.99
2211,-0.55,1.11
2212,-0.5,1.24
2213,-0.45,1.26
2214,-0.41,1.09
2215,-0.36,0.91
2216,-0.33,0.86
2217,-0.3,0.97
2218,-0.27,1.08
2219,-0.29,1.14
2220,-0.37,1.15
2221,-0.46,1.16
2222,-0.63,1.15
